Time,Speed,SOC,BatteryTemp,Throttle,Brake
0.493279,0,100,25,0,0
0.57902,0,100,25,0,0
0.609891,0,100,25,0,0
0.640965,0,100,25,0,0
0.671191,0,100,25,0,0
0.702363,0,100,25,0,0
0.748775,0,100,25,0,0
0.779546,0,100,25,0,0
0.826445,0,100,25,0,0
0.857847,0,100,25,0,0
0.889589,0,100,25,0,0
0.920405,0,100,25,0,0
0.951119,0,100,25,0,0
0.983566,0,100,25,0,0
1.0153,0,100,25,0,0
1.04644,0,100,25,0,0
1.07756,0,100,25,0,0
1.10844,0,100,25,0,0
1.13952,0,100,25,0,0
1.17102,0,100,25,0,0
1.20193,0,100,25,0,0
1.23298,0,100,25,0,0
1.26352,0,100,25,0,0
1.29441,0,100,25,0,0
1.32521,0,100,25,0,0
1.35751,0,100,25,0,0
1.38824,0.193794,100,25,1,0
1.42022,0.37821,100,25,1,0
1.45142,0.570078,99.9999,25,1,0
1.48279,0.757284,99.9999,25,1,0
1.51389,0.945528,99.9998,25,1,0
1.5451,1.13209,99.9998,25,1,0
1.57582,1.31933,99.9997,25,1,0
1.60699,1.50367,99.9996,25,1,0
1.6378,1.69069,99.9995,25,1,0
1.66948,1.87555,99.9994,25,1,0
1.70016,2.06566,99.9993,25,1,0
1.73157,2.24975,99.9992,25,1,0
1.76214,2.4382,99.999,25,1,0
1.79329,2.62158,99.9989,25,1,0
1.82407,2.8085,99.9987,25,1,0
1.85564,2.99319,99.9985,25,1,0
1.88719,3.18263,99.9984,25,1,0
1.91862,3.37193,99.9982,25,1,0
1.94917,3.56046,99.998,25,1,0
1.98042,3.74377,99.9977,25,1,0
2.01243,3.9313,99.9975,25,1,0
2.04389,4.12332,99.9973,25,1,0
2.07475,4.31213,99.997,25,1,0
2.10697,4.49726,99.9968,25,1,0
2.13851,4.69061,99.9965,25,1,0
2.16915,4.87984,99.9962,25,1,0
2.20034,5.06369,99.9959,25,1,0
2.24702,5.2508,99.9956,25,1,0
2.27816,5.5309,99.9951,25,1,0
2.30997,5.71775,99.9948,25,1,0
2.34118,5.90861,99.9945,25,1,0
2.37216,6.09584,99.9941,25,1,0
2.40333,6.2817,99.9937,25,1,0
2.43484,6.46877,99.9934,25,1,0
2.46696,6.65782,99.993,25,1,0
2.49888,6.85055,99.9926,25,1,0
2.53099,7.04204,99.9922,25,1,0
2.56172,7.23473,99.9917,25,1,0
2.59167,7.41906,99.9913,25,1,0
2.6231,7.59879,99.9909,25,1,0
2.6544,7.78736,99.9904,25,1,0
2.6861,7.97514,99.99,25,1,0
2.71762,8.16538,99.9895,25,1,0
2.7489,8.35451,99.989,25,1,0
2.78,8.54215,99.9885,25,1,0
2.81103,8.72875,99.988,25,1,0
2.84228,8.91493,99.9875,25,1,0
2.87332,9.10243,99.987,25,1,0
2.90511,9.28871,99.9865,25,1,0
2.9519,9.47945,99.9859,25,1,0
2.98386,9.76014,99.985,25,1,0
3.01561,9.95195,99.9845,25,1,0
3.04634,10.1424,99.9839,25,1,0
3.07764,10.3268,99.9833,25,1,0
3.10888,10.5146,99.9827,25,1,0
3.14112,10.7021,99.982,25,1,0
3.1718,10.8955,99.9814,25,1,0
3.20283,11.0796,99.9808,25,1,0
3.23437,11.2657,99.9801,25,1,0
3.26657,11.455,99.9794,25,1,0
3.29823,11.6482,99.9787,25,1,0
3.32965,11.8382,99.9781,25,1,0
3.36085,12.0267,99.9773,25,1,0
3.39223,12.2139,99.9766,25,1,0
3.4234,12.4022,99.9759,25,1,0
3.45586,12.5891,99.9752,25,1,0
3.50284,12.7839,99.9744,25,1,0
3.53436,13.0658,99.9733,25,1,0
3.58202,13.2549,99.9725,25,1,0
3.61402,13.5409,99.9713,25,1,0
3.64538,13.7329,99.9705,25,1,0
3.6775,13.9211,99.9697,25,1,0
3.70872,14.1138,99.9689,25,1,0
3.73978,14.3011,99.968,25,1,0
3.77176,14.4875,99.9672,25,1,0
3.80311,14.6793,99.9663,25,1,0
3.8343,14.8674,99.9655,25,1,0
3.86537,15.0546,99.9646,25,1,0
3.89624,15.241,99.9637,25,1,0
3.92709,15.4262,99.9628,25,1,0
3.95805,15.6113,99.962,25,1,0
3.98982,15.797,99.9611,25,1,0
4.02162,15.9877,99.9601,25,1,0
4.05335,16.1785,99.9592,25,1,0
4.08423,16.3689,99.9582,25,1,0
4.11614,16.2207,99.9573,25,0,0
4.14799,16.0675,99.9563,25,0,0
4.18011,15.9146,99.9554,25,0,0
4.21149,15.7605,99.9545,25,0,0
4.24299,15.6098,99.9535,25,0,0
4.27525,15.3264,99.9576,25,0,1
4.30671,15.036,99.9619,25,0,1
4.33838,14.7528,99.966,25,0,1
4.3699,14.4679,99.9702,25,0,1
4.40078,14.1841,99.9743,25,0,1
4.43209,13.9062,99.9785,25,0,1
4.46414,13.6245,99.9826,25,0,1
4.49517,13.336,99.9869,25,0,1
4.5263,13.0567,99.9911,25,0,1
4.558,12.7766,99.9953,25,0,1
4.58978,12.4912,99.9993,25,0,1
4.62038,12.2052,99.9993,25,0,1
4.65164,11.9299,99.9993,25,0,1
4.68338,11.6485,99.9993,25,0,1
4.7142,11.3628,99.9993,25,0,1
4.74546,11.0855,99.9994,25,0,1
4.7765,10.8041,99.9994,25,0,1
4.80768,10.5248,99.9994,25,0,1
4.83935,10.2442,99.9994,25,0,1
4.87173,9.9591,99.9994,25,0,1
4.90344,9.66767,99.9994,25,0,1
4.93465,9.3823,99.9995,25,0,1
4.96605,9.10142,99.9995,25,0,1
4.99708,8.81879,99.9995,25,0,1
5.02746,8.66985,99.999,25,0,0
5.05914,8.52403,99.9985,25,0,0
5.0901,8.37199,99.998,25,0,0
5.12054,8.22337,99.9976,25,0,0
5.15079,8.40605,99.9971,25,1,0
5.18123,8.5875,99.9966,25,1,0
5.21203,8.77018,99.9961,25,1,0
5.24371,8.95498,99.9956,25,1,0
5.2753,9.14505,99.9951,25,1,0
5.30645,9.33459,99.9945,25,1,0
5.3379,9.52146,99.994,25,1,0
5.36901,9.71018,99.9934,25,1,0
5.39999,9.89683,99.9928,25,1,0
5.43153,10.0827,99.9922,25,1,0
5.46326,10.2719,99.9916,25,1,0
5.49443,10.4624,99.991,25,1,0
5.51081,10.6494,99.9904,25,1,0
5.54232,10.7477,99.9901,25,1,0
5.57297,10.9367,99.9894,25,1,0
5.60403,11.1206,99.9888,25,1,0
5.636,11.3069,99.9882,25,1,0
5.66734,11.4988,99.9875,25,1,0
